Date,open,high,low,close,volume,vwap,timestamp,transactions,otc,Closing_price_change
2024-01-02 05:00:00,49.32,50.11,49.32,50.0,1102908.0,49.8957,1704171600000,15132,,
2024-01-03 05:00:00,50.0,50.78,49.875,50.61,1465962.0,50.4391,1704258000000,18382,,0.0122
2024-01-04 05:00:00,50.62,51.09,50.51,51.01,1207600.0,50.9123,1704344400000,14040,,0.0079
2024-01-05 05:00:00,50.92,51.59,50.84,51.21,1905398.0,51.2919,1704430800000,16609,,0.0039
2024-01-08 05:00:00,51.48,51.99,51.46,51.99,1550167.0,51.7531,1704690000000,17543,,0.0152
2024-01-09 05:00:00,51.9,52.12,51.71,51.76,2062143.0,51.8836,1704776400000,18603,,-0.0044
2024-01-10 05:00:00,51.93,52.52,51.91,52.41,2084417.0,52.2371,1704862800000,20881,,0.0126
2024-01-11 05:00:00,52.39,52.499,51.95,52.48,2200552.0,52.2617,1704949200000,19018,,0.0013
2024-01-12 05:00:00,52.36,52.79,52.2,52.21,1479026.0,52.4434,1705035600000,14846,,-0.0051
2024-01-16 05:00:00,51.75,52.0,51.5,51.56,1498416.0,51.7275,1705381200000,17117,,-0.0124
2024-01-17 05:00:00,51.9,51.93,51.49,51.64,1120929.0,51.6744,1705467600000,13781,,0.0016
2024-01-18 05:00:00,51.07,51.9,50.895,51.88,1244547.0,51.4725,1705554000000,17579,,0.0046
2024-01-19 05:00:00,51.24,51.2694,50.96,51.03,1689685.0,51.0862,1705640400000,21724,,-0.0164
2024-01-22 05:00:00,51.21,51.52,50.82,50.83,2076355.0,51.2015,1705899600000,19527,,-0.0039
2024-01-23 05:00:00,50.0,50.29,49.7,49.89,3693158.0,50.0336,1705986000000,26913,,-0.0185
2024-01-24 05:00:00,50.61,50.8,49.83,49.89,2119518.0,50.2245,1706072400000,21213,,0.0
2024-01-25 05:00:00,49.94,50.05,49.592,49.88,2884272.0,49.7791,1706158800000,18509,,-0.0002
2024-01-26 05:00:00,50.16,50.27,49.81,50.14,1036241.0,50.1234,1706245200000,15572,,0.0052
2024-01-29 05:00:00,50.19,50.47,49.97,50.28,1111421.0,50.2039,1706504400000,14401,,0.0028
2024-01-30 05:00:00,50.33,50.39,50.0001,50.25,1060909.0,50.2149,1706590800000,16565,,-0.0006
2024-01-31 05:00:00,51.05,51.26,49.85,49.9,2249232.0,50.5482,1706677200000,24256,,-0.007
2024-02-01 05:00:00,48.52,49.04,48.23,48.41,3197297.0,48.5413,1706763600000,30810,,-0.0299
2024-02-02 05:00:00,48.0,48.04,47.2,47.23,2296736.0,47.4213,1706850000000,21534,,-0.0244
2024-02-05 05:00:00,47.12,47.2,46.65,46.95,2169715.0,46.9673,1707109200000,19471,,-0.0059
2024-02-06 05:00:00,46.55,47.14,46.46,47.06,3757035.0,46.8616,1707195600000,22122,,0.0023
2024-02-07 05:00:00,47.2,47.23,46.87,46.92,1518021.0,47.0047,1707282000000,16791,,-0.003
2024-02-08 05:00:00,46.11,46.59,46.0,46.56,3265516.0,46.2822,1707368400000,22026,,-0.0077
2024-02-09 05:00:00,46.56,46.81,46.39,46.5,2694244.0,46.5734,1707454800000,19813,,-0.0013
2024-02-12 05:00:00,46.27,46.54,46.18,46.34,1872278.0,46.3488,1707714000000,19030,,-0.0034
2024-02-13 05:00:00,46.22,46.34,45.55,45.75,2405217.0,45.7721,1707800400000,22234,,-0.0127
2024-02-14 05:00:00,45.66,46.0099,45.56,45.8,2606541.0,45.7244,1707886800000,19646,,0.0011
2024-02-15 05:00:00,46.27,46.64,46.2451,46.39,1931417.0,46.3939,1707973200000,16507,,0.0129
2024-02-16 05:00:00,46.23,46.7,46.075,46.18,2337554.0,46.3544,1708059600000,20879,,-0.0045
2024-02-20 05:00:00,47.4,47.68,46.84,46.85,2320658.0,47.1473,1708405200000,20057,,0.0145
2024-02-21 05:00:00,47.03,48.43,47.0,47.92,2003597.0,47.6064,1708491600000,20171,,0.0228
2024-02-22 05:00:00,47.89,48.23,47.72,47.8,2068392.0,47.9264,1708578000000,17345,,-0.0025
2024-02-23 05:00:00,48.35,48.82,48.22,48.77,1144503.0,48.6373,1708664400000,14044,,0.0203
2024-02-26 05:00:00,48.86,48.89,48.18,48.2,1207070.0,48.4661,1708923600000,14542,,-0.0117
2024-02-27 05:00:00,48.25,48.35,48.085,48.21,948605.0,48.1962,1709010000000,12145,,0.0002
2024-02-28 05:00:00,48.07,48.94,47.86,48.0,1347299.0,48.1387,1709096400000,13641,,-0.0044
2024-02-29 05:00:00,48.04,48.095,47.27,47.85,1645970.0,47.7494,1709182800000,15358,,-0.0031
2024-03-01 05:00:00,47.44,47.5,47.08,47.29,2931319.0,47.3411,1709269200000,18525,,-0.0117
2024-03-04 05:00:00,46.97,47.38,46.84,47.15,1977460.0,47.1036,1709528400000,12494,,-0.003
2024-03-05 05:00:00,47.56,47.73,47.35,47.5,1976725.0,47.5465,1709614800000,12285,,0.0074
2024-03-06 05:00:00,47.33,47.76,47.3,47.68,1862120.0,47.55,1709701200000,11731,,0.0038
2024-03-07 05:00:00,48.05,48.26,47.87,48.06,670507.0,48.0899,1709787600000,8605,,0.008
2024-03-08 05:00:00,47.99,48.25,47.98,48.25,828247.0,48.1514,1709874000000,10913,,0.004
2024-03-11 04:00:00,48.4,48.5,48.1075,48.35,794583.0,48.323,1710129600000,10513,,0.0021
2024-03-12 04:00:00,48.4,48.461,48.2,48.46,741690.0,48.3578,1710216000000,11783,,0.0023
2024-03-13 04:00:00,48.3,48.525,48.17,48.24,804264.0,48.3196,1710302400000,9891,,-0.0045
2024-03-14 04:00:00,48.47,48.47,47.83,48.09,1050386.0,48.027,1710388800000,11486,,-0.0031
2024-03-15 04:00:00,48.35,48.51,48.045,48.29,1267096.0,48.1909,1710475200000,12231,,0.0042
2024-03-18 04:00:00,48.04,48.12,47.74,47.83,961216.0,47.9269,1710734400000,13054,,-0.0095
2024-03-19 04:00:00,47.32,47.54,47.2317,47.48,633700.0,47.4182,1710820800000,10551,,-0.0073
2024-03-20 04:00:00,47.33,48.3,47.24,48.23,990492.0,47.8732,1710907200000,13573,,0.0158
2024-03-21 04:00:00,47.4,47.82,47.38,47.73,1581040.0,47.6634,1710993600000,18300,,-0.0104
2024-03-22 04:00:00,48.16,48.27,47.84,48.07,2333136.0,48.0177,1711080000000,19090,,0.0071
2024-03-25 04:00:00,48.23,50.5,48.2,49.44,3649565.0,49.1024,1711339200000,32135,,0.0285
2024-03-26 04:00:00,49.19,49.83,49.16,49.75,3615192.0,49.4881,1711425600000,25954,,0.0063
2024-03-27 04:00:00,49.67,49.85,49.53,49.54,2529821.0,49.6408,1711512000000,17438,,-0.0042
2024-03-28 04:00:00,49.25,49.445,48.3,48.6,2415333.0,48.8275,1711598400000,24792,,-0.019
2024-04-01 04:00:00,49.07,49.07,48.01,48.29,1297716.0,48.3072,1711944000000,16208,,-0.0064
2024-04-02 04:00:00,48.21,48.22,47.68,47.7,1305784.0,47.8563,1712030400000,15433,,-0.0122
2024-04-03 04:00:00,48.0,48.25,47.78,47.96,1362631.0,47.9895,1712116800000,15867,,0.0055
2024-04-04 04:00:00,48.67,48.67,47.795,47.8,1757527.0,48.2758,1712203200000,20050,,-0.0033
2024-04-05 04:00:00,46.94,47.375,46.89,47.25,1289898.0,47.1804,1712289600000,16697,,-0.0115
2024-04-08 04:00:00,47.33,47.39,47.1,47.15,1510783.0,47.2836,1712548800000,10834,,-0.0021
2024-04-09 04:00:00,47.14,47.59,47.07,47.53,3324857.0,47.3725,1712635200000,15724,,0.0081
2024-04-10 04:00:00,47.38,47.45,46.96,47.13,2947031.0,47.2425,1712721600000,17183,,-0.0084
2024-04-11 04:00:00,47.4,47.45,46.2911,46.6,1217944.0,46.6375,1712808000000,14744,,-0.0112
2024-04-12 04:00:00,45.98,46.16,45.8325,45.93,1693869.0,45.9704,1712894400000,12791,,-0.0144
2024-04-15 04:00:00,46.76,46.9,46.01,46.24,1997215.0,46.4006,1713153600000,19875,,0.0067
2024-04-16 04:00:00,46.03,46.27,45.8,45.8,1356647.0,46.0475,1713240000000,16327,,-0.0095
2024-04-17 04:00:00,46.33,46.42,45.8797,46.11,3714876.0,46.1407,1713326400000,23386,,0.0068
2024-04-18 04:00:00,45.47,45.71,45.22,45.39,4359566.0,45.4618,1713412800000,28886,,-0.0156
2024-04-19 04:00:00,45.89,46.73,45.79,46.3,3272047.0,46.2956,1713499200000,22814,,0.02
2024-04-22 04:00:00,46.14,47.16,46.12,47.15,2086303.0,46.8619,1713758400000,16058,,0.0184
2024-04-23 04:00:00,47.07,48.38,47.0,47.69,1664860.0,47.6552,1713844800000,18673,,0.0115
2024-04-24 04:00:00,47.56,47.57,46.31,46.61,1662201.0,46.8395,1713931200000,21497,,-0.0226
2024-04-25 04:00:00,48.8,49.83,48.65,49.36,6469838.0,49.2368,1714017600000,32937,,0.059
2024-04-26 04:00:00,48.84,49.47,48.17,49.13,4148180.0,48.9155,1714104000000,30502,,-0.0047
2024-04-29 04:00:00,49.17,49.495,49.01,49.09,3286189.0,49.2554,1714363200000,20617,,-0.0008
2024-04-30 04:00:00,49.57,49.885,49.22,49.23,3182534.0,49.5773,1714449600000,15629,,0.0029
2024-05-01 04:00:00,49.17,50.37,48.85,50.03,1363472.0,49.8049,1714536000000,20318,,0.0163
2024-05-02 04:00:00,49.04,49.47,48.27,49.46,4596609.0,48.9145,1714622400000,19008,,-0.0114
2024-05-03 04:00:00,49.48,49.595,48.97,49.01,1113911.0,49.2159,1714708800000,11724,,-0.0091
2024-05-06 04:00:00,49.25,49.45,48.98,49.33,1187885.0,49.2211,1714968000000,14920,,0.0065
2024-05-07 04:00:00,49.42,49.82,49.3481,49.57,1243281.0,49.546,1715054400000,15468,,0.0049
2024-05-08 04:00:00,50.23,50.36,49.9508,50.1,1604076.0,50.1388,1715140800000,17575,,0.0107
2024-05-09 04:00:00,48.19,48.82,48.1,48.69,1122012.0,48.6412,1715227200000,15823,,-0.0281
2024-05-10 04:00:00,48.8,49.28,48.7,49.28,1062734.0,49.0738,1715313600000,13674,,0.0121
2024-05-13 04:00:00,49.82,50.31,49.76,50.21,1254461.0,50.104,1715572800000,16087,,0.0189
2024-05-14 04:00:00,49.09,49.835,49.08,49.5,2757468.0,49.5947,1715659200000,18390,,-0.0141
2024-05-15 04:00:00,49.53,49.685,48.81,49.01,4258023.0,49.1926,1715745600000,17554,,-0.0099
2024-05-16 04:00:00,49.0,49.1,48.71,48.82,1963607.0,48.8742,1715832000000,15418,,-0.0039
2024-05-17 04:00:00,48.61,48.67,48.31,48.67,838711.0,48.562,1715918400000,8891,,-0.0031
2024-05-20 04:00:00,48.39,48.76,48.3451,48.42,1273831.0,48.4846,1716177600000,14405,,-0.0051
2024-05-21 04:00:00,48.6,49.0,48.59,48.95,725653.0,48.8221,1716264000000,10026,,0.0109
2024-05-22 04:00:00,48.71,50.59,48.65,50.36,2119999.0,49.6566,1716350400000,19229,,0.0288
2024-05-23 04:00:00,49.5,49.61,48.58,49.0,2781532.0,48.9748,1716436800000,19599,,-0.027
2024-05-24 04:00:00,48.69,48.85,48.44,48.54,1423816.0,48.7053,1716523200000,14145,,-0.0094
2024-05-28 04:00:00,48.43,48.47,47.8,47.94,1804535.0,48.0672,1716868800000,14787,,-0.0124
2024-05-29 04:00:00,47.26,47.59,47.19,47.57,1150644.0,47.4485,1716955200000,11619,,-0.0077
2024-05-30 04:00:00,47.69,48.149,47.5,47.83,1167944.0,47.9376,1717041600000,11445,,0.0055
2024-05-31 04:00:00,48.14,49.07,48.11,49.03,2096334.0,48.7891,1717128000000,17953,,0.0251
2024-06-03 04:00:00,48.52,49.4,48.5,49.25,1976104.0,49.0629,1717387200000,18435,,0.0045
2024-06-04 04:00:00,49.58,49.725,49.041,49.21,1512396.0,49.2938,1717473600000,13247,,-0.0008
2024-06-05 04:00:00,49.63,49.77,49.07,49.13,1956219.0,49.2009,1717560000000,14962,,-0.0016
2024-06-06 04:00:00,49.09,49.6,49.03,49.51,1065211.0,49.3935,1717646400000,18375,,0.0077
2024-06-07 04:00:00,49.26,49.42,48.94,48.98,1284163.0,49.0966,1717732800000,10727,,-0.0107
2024-06-10 04:00:00,48.24,48.86,48.11,48.86,3570027.0,48.5299,1717992000000,10784,,-0.0024
2024-06-11 04:00:00,48.15,48.6,48.02,48.51,5399074.0,48.3455,1718078400000,17195,,-0.0072
2024-06-12 04:00:00,48.48,48.94,48.16,48.44,1966036.0,48.5568,1718164800000,17715,,-0.0014
2024-06-13 04:00:00,47.44,47.595,47.0834,47.53,2244738.0,47.454,1718251200000,17398,,-0.0188
2024-06-14 04:00:00,46.8,46.85,45.9,46.25,3797354.0,46.3164,1718337600000,20606,,-0.0269
2024-06-17 04:00:00,46.69,47.31,46.3701,47.29,2578139.0,46.9763,1718596800000,19029,,0.0225
2024-06-18 04:00:00,47.58,47.59,47.16,47.22,2947770.0,47.3482,1718683200000,22805,,-0.0015
2024-06-20 04:00:00,46.9,47.22,46.81,46.85,2627563.0,46.9859,1718856000000,23322,,-0.0078
2024-06-21 04:00:00,47.0,47.28,46.51,47.21,4986733.0,46.8584,1718942400000,26143,,0.0077
2024-06-24 04:00:00,48.37,49.19,48.37,48.97,5560248.0,48.7833,1719201600000,34972,,0.0373
2024-06-25 04:00:00,48.57,50.27,48.48,50.11,3156276.0,49.318,1719288000000,31493,,0.0233
2024-06-26 04:00:00,48.22,48.9,48.19,48.33,4095634.0,48.5611,1719374400000,34307,,-0.0355
2024-06-27 04:00:00,48.4,48.42,47.85,48.08,1097152.0,48.098,1719460800000,13371,,-0.0052
2024-06-28 04:00:00,48.12,48.96,48.045,48.52,3048949.0,48.4607,1719547200000,20496,,0.0092
2024-07-01 04:00:00,49.38,49.67,49.24,49.59,3045372.0,49.4645,1719806400000,22860,,0.0221
