date,sentiment_mean,sentiment_std,sentiment_polarity,weighted_sentiment,sentiment_momentum,sentiment_volatility,sentiment_rsi,sentiment_macd,sentiment_rate_of_change,sentiment_acceleration,sentiment_ma_7d,sentiment_ma_14d,sentiment_trend_7d,sentiment_trend_14d,article_count,article_count_ma_7d,relevance_mean,source_count,Technology_sentiment_score,Finance_sentiment_score,Financial Markets_sentiment_score,Earnings_sentiment_score,Economy - Macro_sentiment_score,Manufacturing_sentiment_score
2024-01-01,0.100858,0.2240312272697714,neutral,0.02648884083,0.0,0.2240312272697714,50.0,0.0,0.0,0.0,0.100858,0.100858,0.0,0.0,2,2.0,0.262635,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0314376666666666,0.1760339811620188,neutral,0.004845050929074,-0.0694203333333333,0.2000326042158951,50.0,0.0,-0.6882977387349871,0.0,0.0661478333333333,0.0661478333333333,0.0,0.0,9,5.5,0.1541161111111111,7,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,0.05353925,0.0422254707522604,neutral,0.0074882538164374,0.0221015833333333,0.1474302263946836,50.0,0.0,0.7030287447117574,0.0915219166666666,0.0619449722222222,0.0619449722222222,0.0,0.0,4,5.0,0.1398647499999999,4,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,0.1206234444444444,0.163885507352779,neutral,0.018388079118,0.0670841944444444,0.1515440466342074,50.0,0.0,1.2529909261792884,0.0449826111111111,0.0766145902777777,0.0766145902777777,0.0,0.0,9,6.0,0.152442,5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,-0.033985,0.1939358760466974,neutral,-0.003452223488,-0.1546084444444444,0.1600224125167054,50.0,0.0,-1.2817445659633149,-0.2216926388888889,0.0544946722222222,0.0544946722222222,0.0,0.0,5,5.8,0.1015808,5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,0.0712759166666666,0.0611172103621146,neutral,0.0033543812505069,0.1052609166666666,0.127439609135174,50.0,0.0,-3.097275758913246,0.2598693611111111,0.0572915462962962,0.0572915462962962,0.0,0.0,12,6.833333333333333,0.0470619166666666,7,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,0.2275033749999999,0.2651027940079834,bullish,0.0513075564572656,0.1562274583333333,0.1452533717043669,50.0,0.0,2.191868805615735,0.0509665416666666,0.0816075218253968,0.0816075218253968,0.0,0.0,8,7.0,0.225524375,4,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,0.2868395,0.4017363537701063,bullish,0.06384545300875,0.059336125,0.2171555483079361,50.0,0.0,0.2608142626455543,-0.0968913333333332,0.1081763075396825,0.1072615190972222,0.1859815,0.0,2,7.0,0.2225825,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,-0.02449,0.0,neutral,-0.00561185901,-0.3113295,0.2304730585467254,50.0,0.0,-1.0853787571098124,-0.3706656250000001,0.1001866408730158,0.0926224614197531,-0.0559276666666666,0.0,1,5.857142857142857,0.229149,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,0.0609143333333333,0.112546685025963,neutral,0.0057707193683333,0.0854043333333333,0.2101257607915418,50.0,0.0,-3.487314550156526,0.3967338333333333,0.1012402242063492,0.0894516486111111,0.0073750833333333,0.0,3,5.714285714285714,0.094735,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,-0.166405,0.0,bearish,-0.0054399458549999,-0.2273193333333333,0.2597952776013509,50.0,0.0,-3.731787264081251,-0.3127236666666666,0.0602361607142857,0.0661919532828282,-0.2870284444444444,0.0,1,4.571428571428571,0.032691,1,0.0,0.0,0.0,0.0,0.0,0.0
