date,sentiment_mean,sentiment_std,sentiment_polarity,weighted_sentiment,sentiment_momentum,sentiment_volatility,sentiment_rsi,sentiment_macd,sentiment_rate_of_change,sentiment_acceleration,sentiment_ma_7d,sentiment_ma_14d,sentiment_trend_7d,sentiment_trend_14d,article_count,article_count_ma_7d,relevance_mean,source_count,Technology_sentiment_score,Finance_sentiment_score,Financial Markets_sentiment_score,Earnings_sentiment_score,Economy - Macro_sentiment_score,Manufacturing_sentiment_score
2024-01-01,0.0789283333333333,0.2120850725636609,neutral,0.0173557880016666,0.0,0.2120850725636609,50.0,0.0,0.0,0.0,0.0789283333333333,0.0789283333333333,0.0,0.0,3,3.0,0.219893,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.226741,0.0927728009041443,bullish,0.0617570304781666,0.1478126666666666,0.1524289367339026,50.0,0.0,1.872745317482104,0.0,0.1528346666666666,0.1528346666666666,0.0,0.0,6,4.5,0.2723681666666667,4,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,0.274189,0.1235036910055727,bullish,0.07564168473325,0.047448,0.1427871881577927,50.0,0.0,0.2092607865361802,-0.1003646666666666,0.1932861111111111,0.1932861111111111,0.0,0.0,4,4.333333333333333,0.27587425,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,0.0980754,0.6212641810794342,neutral,0.0486117781528799,-0.1761136,0.262406436388203,50.0,0.0,-0.6423073135683781,-0.2235616,0.1694834333333333,0.1694834333333333,0.0,0.0,5,4.5,0.4956571999999999,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,0.296529,0.3134281486696751,bullish,0.0855055011834,0.1984536,0.2726107788444974,50.0,0.0,2.0234798940407077,0.3745672,0.1948925466666666,0.1948925466666666,0.0,0.0,5,4.6,0.2883546,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,0.2607575,0.0787101771342181,bullish,0.0589606605975,-0.0357715,0.2459357997586089,50.0,0.0,-0.1206340695176526,-0.2342251,0.2058700388888888,0.2058700388888888,0.0,0.0,2,4.166666666666667,0.226113,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,0.2848602857142857,0.1569039612477584,bullish,0.1259769383088979,0.0241027857142857,0.2587620318273317,50.0,0.0,0.0924337198902649,0.0598742857142857,0.2171543598639455,0.2171543598639455,0.0,0.0,7,4.571428571428571,0.4422411428571428,4,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,0.3392085,0.1569489275869701,bullish,0.15524154022775,0.0543482142857142,0.2654510791436112,50.0,0.0,0.1907890183759255,0.0302454285714285,0.2543372408163265,0.2324111273809523,0.2602801666666667,0.0,6,5.0,0.4576581666666666,4,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,0.1802008333333333,0.1034079586384271,bullish,0.0505969701841666,-0.1590076666666666,0.1618798346554098,50.0,0.0,-0.4687608555406679,-0.2133558809523809,0.2476886455782312,0.2266099835978836,-0.0465401666666666,0.0,6,5.0,0.280781,4,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,0.1591786666666666,0.1376185178867049,bullish,0.0504211160959999,-0.0210221666666666,0.1267179084988157,50.0,0.0,-0.1166596528872878,0.1379855,0.2312585979591836,0.2198668519047619,-0.1150103333333333,0.0,3,4.857142857142857,0.316758,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,0.349761,0.1523810631694984,bullish,0.14579796029025,0.1905823333333333,0.1414520857058718,50.0,0.0,1.197285649668297,0.2116045,0.2672136836734693,0.2316754108225108,0.2516856,0.0,4,4.714285714285714,0.41685025,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-13,-0.86822,0.0,bearish,-0.76061628608,-1.217981,0.1375891168204001,50.0,0.0,-3.4823236438596643,-1.4085633333333334,0.1008209693877551,0.1400174599206349,-1.164749,0.0,1,4.142857142857143,0.876064,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,0.486934,0.0657496169418499,bullish,0.325295041365,1.355154,0.1147892891591201,50.0,0.0,-1.5608417221441568,2.5731349999999997,0.1331318979591836,0.1667033476190476,0.2261765,0.0,2,4.142857142857143,0.6680475,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,0.2795076666666666,0.1098133890212543,bullish,0.1350186939523333,-0.2074263333333333,0.1163906467548268,50.0,0.0,-0.4259844934494887,-1.5625803333333332,0.1323672380952381,0.1747607989795918,-0.005352619047619,0.0,3,3.5714285714285716,0.4830589999999999,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-16,0.216126,0.112312176891021,bullish,0.075152629476,-0.0633816666666666,0.1100640615059059,50.0,0.0,-0.2267618181015904,0.1440446666666666,0.1147840238095238,0.1845606323129252,-0.1230825,0.1371976666666666,4,3.2857142857142856,0.347726,2,0.0,0.0,0.0,0.0,0.0,0.0
