date,sentiment_mean,sentiment_std,sentiment_polarity,weighted_sentiment,sentiment_momentum,sentiment_volatility,sentiment_rsi,sentiment_macd,sentiment_rate_of_change,sentiment_acceleration,sentiment_ma_7d,sentiment_ma_14d,sentiment_trend_7d,sentiment_trend_14d,article_count,article_count_ma_7d,relevance_mean,source_count,Technology_sentiment_score,Finance_sentiment_score,Financial Markets_sentiment_score,Earnings_sentiment_score,Economy - Macro_sentiment_score,Manufacturing_sentiment_score
2024-01-01,0.1077265217391304,0.1255278898969792,neutral,0.0213451531541966,0.0,0.1255278898969792,50.0,0.0,0.0,0.0,0.1077265217391304,0.1077265217391304,0.0,0.0,23,23.0,0.1981420434782609,10,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.1148685399999999,0.1500113509542215,neutral,0.0190655471504339,0.0071420182608695,0.1377696204256003,50.0,0.0,0.0662976780979209,0.0,0.1112975308695652,0.1112975308695652,0.0,0.0,50,36.5,0.1659771,13,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,0.1134078208955223,0.1553563262543246,neutral,0.0172187534555722,-0.0014607191044776,0.1436318557018417,50.0,0.0,-0.0127164418079798,-0.0086027373653471,0.1120009608782176,0.1120009608782176,0.0,0.0,67,46.666666666666664,0.1518303880597015,18,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,0.14193895,0.1444107898582759,neutral,0.0316520611646518,0.0285311291044776,0.1438265892409503,50.0,0.0,0.2515799076217335,0.0299918482089552,0.1194854581586632,0.1194854581586632,0.0,0.0,80,55.0,0.2229977125,24,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,0.114180420289855,0.1746920875598318,neutral,0.0209205949819771,-0.0277585297101449,0.1499996889047266,50.0,0.0,-0.1955666834941707,-0.0562896588146225,0.1184244505849015,0.1184244505849015,0.0,0.0,69,57.8,0.1832240144927536,12,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06,0.0710367,0.1456096067077631,neutral,0.01000152693246,-0.043143720289855,0.1540160322668834,50.0,0.0,-0.3778556794617824,-0.0153851905797101,0.1105264921540846,0.1105264921540846,0.0,0.0,20,51.5,0.1407938,7,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,0.0958153333333333,0.0914765114849122,neutral,0.0124717509633611,0.0247786333333333,0.1423090643730215,50.0,0.0,0.3488145329573773,0.0679223536231884,0.1084248980368344,0.1084248980368344,0.0,0.0,24,47.57142857142857,0.1301644583333333,10,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,0.1462908227848101,0.1793662114654133,neutral,0.0252169805737902,0.0504754894514768,0.1471110414152392,50.0,0.0,0.5267997062211003,0.0256968561181434,0.1139340839005029,0.1131581386303314,0.0385643010456796,0.0,79,55.57142857142857,0.1723756835443038,17,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,0.1197787692307692,0.1332750960592728,neutral,0.0261574857202721,-0.0265120535540408,0.1448839026554386,50.0,0.0,-0.1812284123457246,-0.0769875430055176,0.1146355452191843,0.1138937642526022,0.0049102292307692,0.0,78,59.57142857142857,0.2183816538461538,22,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,0.0884607887323943,0.1372892768824713,neutral,0.0149025567412156,-0.0313179804983748,0.1374033405199665,50.0,0.0,-0.2614652053907546,-0.0048059269443339,0.1110716834815945,0.1113504667005814,-0.024947032163128,0.0,71,60.142857142857146,0.1684651126760563,18,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,0.1274470897435897,0.1676210094411877,neutral,0.0301207863682662,0.0389863010111953,0.1418056210666514,50.0,0.0,0.440718442259588,0.0703042815095702,0.1090014177306788,0.1128137960681276,-0.0144918602564102,0.0,78,59.857142857142854,0.2363395384615385,19,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,0.0803685178571428,0.1090203253373159,neutral,0.0128361080598772,-0.0470785718864468,0.1453143838371322,50.0,0.0,-0.3693969943226169,-0.0860648728976422,0.104171145954577,0.1101100228838789,-0.0338119024327122,0.0,56,58.0,0.159715625,19,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-13,0.11913796,0.2531907802653432,neutral,0.0196044896698063,0.0387694421428571,0.1600792975971182,50.0,0.0,0.482395883071663,0.085848014029304,0.1110427545260056,0.110804479585119,0.04810126,0.0,25,58.714285714285715,0.1645528399999999,8,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,0.0800827619047619,0.1419979692308678,neutral,0.0101571827022448,-0.039055198095238,0.1618238722314372,50.0,0.0,-0.3278148970759453,-0.0778246402380952,0.108795244321924,0.1086100711793792,-0.0157325714285714,0.0,21,58.285714285714285,0.1268335714285714,8,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,0.0984488032786885,0.1511797009795318,neutral,0.0165427349127274,0.0183660413739266,0.1646019570508493,50.0,0.0,0.2293382612823513,0.0574212394691647,0.1019606701067638,0.1079473770036334,-0.0478420195061215,-0.0092777184604419,61,55.714285714285715,0.1680338852459016,20,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-16,0.1461708780487804,0.1511258210372485,neutral,0.0372312467378137,0.0477220747700919,0.1613029193700615,50.0,0.0,0.4847400189822568,0.0293560333961653,0.1057309713664797,0.110183258292832,0.0263921088180112,0.0313023380487804,82,56.285714285714285,0.2547104268292682,19,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-17,0.1320087999999999,0.1672284397770405,neutral,0.0275771218022299,-0.0141620780487805,0.1729445422580064,50.0,0.0,-0.0968871381073205,-0.0618841528188724,0.1119521158332804,0.1115118996574375,0.0435480112676056,0.0186009791044775,80,57.57142857142857,0.2089036624999999,19,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-18,0.1227466056338028,0.1528849279082127,neutral,0.022830170202413,-0.0092621943661971,0.1528833717865803,50.0,0.0,-0.0701634615737523,0.0048998836825833,0.1112806181033109,0.1101410179169948,-0.0047004841097869,-0.0191923443661971,71,56.57142857142857,0.1859943098591549,18,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-19,0.1102377638888889,0.1352572513011225,neutral,0.0230044869980158,-0.0125088417449139,0.1515352282006312,50.0,0.0,-0.1019078424232137,-0.0032466473787167,0.1155476532507032,0.1098593996026401,0.029869246031746,-0.0039426564009661,72,58.857142857142854,0.2086806388888888,19,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-20,0.1068903157894736,0.1600920651956251,neutral,0.021341287263457,-0.0033474480994152,0.1533177010438499,50.0,0.0,-0.0303657111803281,0.0091613936454987,0.1137979897920566,0.1124203721590311,-0.0122476442105263,0.0358536157894736,38,60.714285714285715,0.199655947368421,14,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-21,0.1399735652173913,0.0956000502908892,neutral,0.0176576895954026,0.0330832494279176,0.142212546894578,50.0,0.0,0.309506517812866,0.0364306975273328,0.1223538188367179,0.1155745315793209,0.0598908033126293,0.0441582318840579,23,61.0,0.1261501739130434,8,0.0,0.0,0.0,0.0,0.0,0.0
